[Linear Recursion] Tetranacci of 50: 14075762303480
Execution Time in milliseconds: 1 ms

[Linear Recursion] Tetranacci of 5000: 87057640528892080059147867841743403117981796601985336513725494049211591789591721101199363934211251941485966347906660112233633311733867804595769035389214490073184604789876066295571134550420115995194603703795073848087474175360977400544701170426305906915108807383075069181102316983803208067076125682634212009467677878642584493761888986866466101252848655293933548715383796146542939863326527007047810013764878577898024721170718160576989789446837415701519248709917153189169025782905959788673258360814860763019589858489659684565798161121202703548111755024375403323592547359255049202605804173068494860048726999031526626291872554828943552467061944388421604040010225579649321237187395504328880035170423160861503465750967010050003475795971225063929522386625915968157318326556380506322229448377744966550288483266332483691506213641847159686145024456311083963758136303109343458706201552060886832429052050723568760904521915902113077441869379099693527472785560538171453920783662732725533637217578452201696593669794915328367317374169038338173988909228821037036651906248997640842432441865400475476481060510205472878312627523401698519121477867035015032810041497731730098774469665491456000367528609045087656364659878770920408758780849646034538996338554249054468650566331198793909894113522270105421564273740804865213820816607345471647084184968326499533972553911221191718187484680869179759347680308007440400013952507285360956081703756115240315520
Execution Time in milliseconds: 8 ms

[Linear Recursion] Tetranacci of 6000: 88747758150722124903759202919127898539404048462898590928914686729794937034203032527130432402802584312887642953475214188688146229745749426275710204568192353477669294579822253162609413147491470499214547609418971749246523982820539298997107221994225906442458984873065931027090003122381508126610169381227525743325473145345242549037409363211172925102395992537400947994312294604508122243515899747149119384462199411843727443654719198589668826968469833228518673761958598052494834786046805600425157201088223445080880964966835573347616765225394811022209082762908347167482318852935984866502486908792336901054819452413524815725511252876663347939198067252506571392663070946403459928134951467571069835235648218745784709648344390168817439500738449082621229039775947658167100834888958922630538839633498912133192812523126945998736653218414521574068998638864900423652632013336321446728890482114816363450732935339646888737384547659034511052137730293040009370061480410630141285374427358452106332200458509500697902286624006936554471301139361884598593507060985624631518268974650652935088209821721025776453537340358468342404479569390279468121852806469041549656010368493965960890660013292330262310843322329448437129801157866203108769838908985531594468121458338921473643562344906876460535549849460283588416028273239577320531531535720313241396070497264845981520443674698282818471346260396704570987175775394603256098289474907050357145622713993288900493675189171920333119973218361751838272299070950599504771333948703087653863740319840375063171065938806291109831008752450834117208351742235254760587944754843395209427722611940006152373953895502083872675649988278748016447895336460079836900488963498652087109757653518411634728603438067414016
Execution Time in milliseconds: 10 ms

[Linear Recursion] Tetranacci of 2: 1
Execution Time in milliseconds: 1 ms

[Linear Recursion] Tetranacci of 1: 1
Execution Time in milliseconds: 1 ms

[Linear Recursion] Tetranacci of 1: 0
Execution Time in milliseconds: 1 ms

[Linear Recursion] Tetranacci of 1: 1
Execution Time in milliseconds: 1 ms

[Linear Recursion] Tetranacci of 1: 0
Execution Time in milliseconds: 1 ms

[Linear Recursion] Tetranacci of 3: 1
Execution Time in milliseconds: 1 ms

[Linear Recursion] Tetranacci of 4: 1
Execution Time in milliseconds: 0 ms

[Linear Recursion] Tetranacci of 5: 2
Execution Time in milliseconds: 1 ms

[Linear Recursion] Tetranacci of 6: 4
Execution Time in milliseconds: 0 ms

[Linear Recursion] Tetranacci of 8: 15
Execution Time in milliseconds: 1 ms

[Linear Recursion] Tetranacci of 7: 8
Execution Time in milliseconds: 1 ms

[Linear Recursion] Tetranacci of 10: 56
Execution Time in milliseconds: 0 ms

[Linear Recursion] Tetranacci of 0: 0
Execution Time in milliseconds: 1 ms

[Linear Recursion] Tetranacci of 1: 0
Execution Time in milliseconds: 0 ms

[Linear Recursion] Tetranacci of 0: 0
Execution Time in milliseconds: 1 ms

[Linear Recursion] Tetranacci of 1: 0
Execution Time in milliseconds: 0 ms

[Linear Recursion] Tetranacci of 3: 1
Execution Time in milliseconds: 1 ms

[Linear Recursion] Tetranacci of 4: 1
Execution Time in milliseconds: 0 ms

[Linear Recursion] Tetranacci of 3: 1
Execution Time in milliseconds: 0 ms

[Linear Recursion] Tetranacci of 10: 56
Execution Time in milliseconds: 0 ms

